Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,MPN
1,VSENSE filter 10 nF,C5,C5,10nF,C5,1, ,,GRM155R71C103KA01D
2,100 nF X7R decoupling,C1,C1 C2 C3 C6 C7 C8 C10 C12,100nF,C1,8, ,,GRM155R71C104KA88D
3,Accelerometer VREG_OUT decoupling 0.22 uF,C11,C11,220nF,C11,1, ,,GRM155R71C224KA12D
4,VS bulk 1 uF,C4,C4,1uF,C4,1, ,,GRM155R61A105KE15D
5,LED-anode bulk 4.7 uF,C11,C13,4.7uF,C13,1, ,,GRM155R61A475MEAAD
6,Glow LED - reverse-mount amber,D2,D2 D3 D4 D5,LA P47F,D2,4, ,datasheets/D2-D5  LA P47F-V2BB-24-3B5A-30-R18-Z  $0.43.pdf,LA P47F-V2BB-24-3B5A-30-R18-Z
7,Schottky (blocking / comparator-supply OR),D1,D1 D9 D10 D11,MMSD301T1G,D1,4, ,"datasheets/D1,D9,D10,D11  MMSD301T1G  $0.37.pdf",MMSD301T1G
8,NFC antenna - PCB coil (LA/LB),L1,L1,1.0uH,,1, ,,(PCB feature - no part)
9,Rail-clamp pass PNP,Q1,Q1,BCP5316MTWG,Q1,1, ,datasheets/Q1  BCP5316MTWG  $0.79.pdf,BCP5316MTWG
10,LED ballast 150 ohm,R1,R1 R2 R3 R4,150R,R1,4, ,,RC0402FR-07150RL
11,TINY-mode ballast 220 ohm,R12,R12,220R,R12,1, ,,RC0402FR-07220RL
12,Clamp base pull-up 1 kohm,R9,R9,1k,R9,1, ,,RC0402FR-071KL
13,I2C pull-up 4.7 kohm,R10,R10 R11,4.7k,R10,2, ,,RC0402FR-074K7L
14,NFC FD pull-up 10 kohm,R13,R13,10k,R13,1, ,,RC0402FR-0710KL
15,NFC_EN pulldown 100 kohm,R14,R14,100k,R14,1, ,,RC0402FR-07100KL
16,VSENSE divider 1 Mohm,R5,R5 R6,1M,R5,2, ,,RC0402FR-071ML
17,Clamp divider bottom 3.74 Mohm,R8,R8,3.74M,R8,1, ,,RC0402FR-073M74L
18,Clamp divider top 6.81 Mohm,R7,R7,6.81M,R7,1, ,,RC0402FR-076M81L
19,VDDIO2 tie - 0 ohm jumper,SJ1,SJ1,0R,SJ1,1, ,,RC0805JR-070RL
20,3-axis accelerometer (tap/double-tap wake),U3,U3,ADXL367,ADXL367 CC-12-4_ADI,1, ,datasheets/adxl367.pdf,ADXL367BCCZ-RL7
21,Supercap balancer - dual SAB MOSFET,U2,U2,ALD910025SALI,U2,1, ,datasheets/U2  ALD910025SALI  $7.68.pdf,ALD910025SALI
22,"MCU - 8-bit AVR (PWM, I2C, charge/sleep logic)",U1,U1,AVR64DD28 (VQFN28),U1,1, ,datasheets/U1  AVR64DD28-I-STX  $1.17.pdf,AVR64DD28-I/STX
23,NFC tag - NTAG I2C plus 2K,U5,U5,NT3H2211,U5,1, ,datasheets/U5  NT3H2211W0FHKH  $1.38.pdf,NT3H2211W0FHKH
24,"Comparator + 1.242V ref, open-drain, SOT-23-6",U4,U4,TLV3011BIDBVR,SOT-23-6,1, ,tlv3011b.pdf,TLV3011BIDBVR
25,NFC VNFC high-side load switch,U6,U6,TPS22918,SOT-23-6,1, ,datasheets/U6  TPS22918DBVR  $0.55.pdf,TPS22918DBVR





Project info:
Schematic:,solar-glow-drh-v3_0
Variant:,default
Revision:,
Date:,2026-07-11_05-02-06
KiCad Version:,10.0.4-10.0.4~ubuntu25.10.1
Statistics:
Component Groups:,26
Component Count:,44
Fitted Components:,43
Number of PCBs:,1
Total Components:,43
