Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C1",10.8000,-41.0000,0.0000,bottom
"C3","100nF","C3",5.6896,-47.9552,180.0000,bottom
"C4","10uF","C_0603_1608Metric",5.0500,-10.6000,-90.0000,bottom
"C5","100nF","C5",45.2202,-24.5474,90.0000,bottom
"C6","100nF","C6",3.0988,-10.1346,-90.0000,bottom
"C7","100nF","C7",5.2500,-12.4500,90.0000,bottom
"C8","100nF","C8",30.6000,-32.4000,180.0000,bottom
"C9","82pF-NP0-trim","C9",35.6600,-39.1400,180.0000,bottom
"C11","220nF","C11",25.0000,-30.5000,90.0000,bottom
"C12","100nF","C12",26.0000,-30.5000,90.0000,bottom
"C13","10uF","C_0603_1608Metric",26.0000,-48.0500,180.0000,bottom
"C22","1uF","C_0603_1608Metric",1.6774,-56.9900,-90.0000,bottom
"C23","2.2uF","C_0603_1608Metric",5.3734,-58.2001,0.0000,bottom
"C24","100nF","C1",5.9064,-59.4144,180.0000,bottom
"C25","22uF","C_0603_1608Metric",25.1500,-55.0000,90.0000,bottom
"C26","10uF","C_0805_2012Metric",35.6960,-53.7534,-90.0000,bottom
"C27","10uF","C_0805_2012Metric",2.7000,-49.3000,90.0000,bottom
"C28","100nF","C_0402_1005Metric",32.7412,-39.3226,0.0000,bottom
"C29","100nF","C1",11.5750,-44.6250,-90.0000,bottom
"D2","LA P47F","D2",16.1000,-43.9000,0.0000,bottom
"D3","LA P47F","D3",22.4000,-43.9000,0.0000,bottom
"D4","LA P47F","D4",28.7000,-43.9000,0.0000,bottom
"D5","LA P47F","D5",34.7000,-43.9000,0.0000,bottom
"FB1","ferrite","L_0603_1608Metric",1.6750,-54.0250,-90.0000,bottom
"J1","UPDI hdr","J1",4.5500,-38.4000,-90.0000,bottom
"JP1","GND STO SCL SDA","JP1",48.4000,-14.5400,0.0000,bottom
"L2","10uH","L_1008_2520Metric",26.5250,-58.5000,-90.0000,bottom
"Q2","BSS138LT1G","SOT-23",47.5375,-64.6000,180.0000,bottom
"R1","150R","R1",5.6896,-49.0474,180.0000,bottom
"R2","150R","R2",25.1500,-52.1250,-90.0000,bottom
"R3","150R","R3",28.8098,-49.6842,0.0000,bottom
"R4","150R","R4",34.8200,-48.3000,0.0000,bottom
"R5","1M","R_0603_1608Metric",48.0790,-24.7673,-90.0000,bottom
"R6","1M","R_0603_1608Metric",46.4918,-24.7769,90.0000,bottom
"R10","4.7k","R10",31.2000,-31.6000,180.0000,bottom
"R11","4.7k","R11",28.6000,-32.6000,90.0000,bottom
"R12","220R","R12",31.5417,-48.4438,0.0000,bottom
"R14","1M","R14",5.3508,-4.9245,0.0000,bottom
"R15","2M","R_0603_1608Metric",3.0250,-51.7750,0.0000,bottom
"R16","1M","R_0603_1608Metric",6.1492,-55.7755,-90.0000,bottom
"R17","1M","C1",35.6236,-56.6106,-90.0000,bottom
"R18","1M","C1",46.1000,-66.1750,-90.0000,bottom
"SB1","LED1 jmp","SB1",5.6388,-50.1650,0.0000,bottom
"SB2","LED2 jmp","SB2",26.2750,-52.2750,90.0000,bottom
"SB3","LED3 jmp","SB3",30.7250,-49.5250,0.0000,bottom
"SB4","LED4 jmp","SB4",34.9800,-49.6000,180.0000,bottom
"SC1","SS17 1.8F 2.75V","SCHURTER_SCPC_SS17",15.5000,-21.2500,180.0000,bottom
"SC2","WS17 1F 2.75V","SCHURTER_SCPC_WS17-mod2",35.3000,-16.9000,0.0000,bottom
"SC3","SS17 1.8F 2.75V","SCHURTER_SCPC_SS17",15.6464,-67.4803,0.0000,bottom
"SC4","WS17 1F 2.75V","SCHURTER_SCPC_WS17-mod2",36.8000,-72.8000,180.0000,bottom
"SJ1","DNP (was 0R VDDIO2 tie)","SJ1",13.3000,-46.0000,0.0000,bottom
"SW2","LED master","SW2",26.3508,-50.3682,0.0000,bottom
"TC1","Tag-Connect","TC1",13.3000,-16.9000,0.0000,bottom
"TP1","VIN","TP1",48.4000,-12.0000,0.0000,bottom
"U1","AVR64EA28 (VQFN28)","U1",8.2296,-44.0690,0.0000,bottom
"U3","ADXL367","ADXL367 CC-12-4_ADI",25.8000,-32.8000,180.0000,bottom
"U5","NT3H2211","U5",35.0520,-34.0000,0.0000,bottom
"U6","TPS22917","SOT-23-6",3.9112,-7.3147,0.0000,bottom
"U7","MB85RC512TY","U7_DFN8",28.2094,-37.4000,0.0000,bottom
"U8","AEM10300","U8_QFN28",31.2000,-54.0000,0.0000,bottom
"U9","TPS7A0233 (SOT23-5*)","U9_SOT23_5",3.9000,-55.4000,-90.0000,bottom
